datetime,thermo.depth
2012-03-23,0.5
2012-03-24,2.534732811211983
2012-03-25,1.5
2012-03-26,2.836625793058822
2012-03-27,3.521304923796013
2012-03-28,9.50279017666448
2012-03-29,7.325772747959746
2012-03-30,1.7481549272054062
2012-03-31,12.537312435111073
2012-04-01,13.095598828966835
2012-04-02,1.5
2012-04-03,1.5
2012-04-04,1.5
2012-04-05,1.5
2012-04-06,1.5
2012-04-07,1.5
2012-04-08,1.5
2012-04-09,10.428766435306237
2012-04-10,10.495454776545483
2012-04-11,13.300644474661787
2012-04-12,1.5
2012-04-13,1.5
2012-04-14,5.396273720444926
2012-04-15,1.5
2012-04-16,5.761517639948766
2012-04-17,6.766944865957287
2012-04-18,11.558898897987692
2012-04-19,13.48179798658328
2012-04-20,13.490808350270568
2012-04-21,2.462499391095184
2012-04-22,1.5
2012-04-23,2.378517075266319
2012-04-24,2.5296701188856012
2012-04-25,1.5
2012-04-26,6.56690504564766
2012-04-27,1.5
2012-04-28,1.5
2012-04-29,1.5
2012-04-30,1.9477814259299113
2012-05-01,1.5
2012-05-02,1.5
2012-05-03,1.5
2012-05-04,1.5
2012-05-05,1.5
2012-05-06,1.5
2012-05-07,3.558862420939085
2012-05-08,1.5
2012-05-09,1.5
2012-05-10,1.5
2012-05-11,1.4840463364461374
2012-05-12,3.324004186651826
2012-05-13,1.5
2012-05-14,4.632520730400027
2012-05-15,1.5
2012-05-16,7.115148275995214
2012-05-17,5.328390249915006
2012-05-18,7.0413958158266885
2012-05-19,8.305514102465335
2012-05-20,7.344966832874457
2012-05-21,7.914985610688614
2012-05-22,5.887198704249772
2012-05-23,5.696469209764973
2012-05-24,7.611798181898016
2012-05-25,7.765260731685939
2012-05-26,8.36278963143884
2012-05-27,8.499097567494312
2012-05-28,7.952578442628136
2012-05-29,8.13850653527547
2012-05-30,8.183740669674151
2012-05-31,10.211114679987038
2012-06-01,8.514966564144622
2012-06-02,9.304884560973244
2012-06-03,8.494429297446352
2012-06-04,9.70611426760999
2012-06-05,8.783093971758658
2012-06-06,9.543975332393343
2012-06-07,10.077130782818454
2012-06-08,10.762546865455645
2012-06-09,9.408966346854424
2012-06-10,10.466601699055598
2012-06-11,10.165262298297959
2012-06-12,9.255271708869257
2012-06-13,8.306968587858577
2012-06-14,10.260041304681469
2012-06-15,9.123940973647834
2012-06-16,8.673113997921632
2012-06-17,10.554700251340323
2012-06-18,10.033092403644918
2012-06-19,8.384904901257862
2012-06-20,11.424012449714041
2012-06-21,10.291712935548432
2012-06-22,10.369359889532257
2012-06-23,9.401673873729944
2012-06-24,9.771627274583766
2012-06-25,9.403502990128125
2012-06-26,11.010789648200877
2012-06-27,8.724556493175644
2012-06-28,9.420627039709558
2012-06-29,9.265442919011669
2012-06-30,10.143938981243513
2012-07-01,8.23516392477757
2012-07-02,9.594223533510565
2012-07-03,11.343110530518516
2012-07-04,8.967931003075211
2012-07-05,11.445061160248498
2012-07-06,9.389625722742883
2012-07-07,9.294321081698817
2012-07-08,11.462015775813146
2012-07-09,10.23615222547843
2012-07-10,8.537152022383925
2012-07-11,9.379083658822
2012-07-12,9.577252917870744
2012-07-13,9.269667973647396
2012-07-14,11.398726210945519
2012-07-15,12.171361165003864
2012-07-16,12.119117213617752
2012-07-17,7.6619185511255274
2012-07-18,9.300110277407168
2012-07-19,9.692214996775522
2012-07-20,9.582634075922712
2012-07-21,9.4398467042502
2012-07-22,12.328619703963753
2012-07-23,8.634622309916049
2012-07-24,9.456649498446193
2012-07-25,10.315135726045822
2012-07-26,10.259922157395584
2012-07-27,8.867322954819382
2012-07-28,10.299164610428091
2012-07-29,9.296997695448491
2012-07-30,9.061766617605285
2012-07-31,12.396089471461076
2012-08-01,11.386270717683885
2012-08-02,9.781369675939986
2012-08-03,11.894794036429904
2012-08-04,9.590474420678838
2012-08-05,10.416630948227203
2012-08-06,10.353508356856409
2012-08-07,10.683899896743519
2012-08-08,11.137980207127983
2012-08-09,10.533513047546256
2012-08-10,11.416583815004369
2012-08-11,12.181377086178458
2012-08-12,1.5
2012-08-13,1.5
2012-08-14,13.45090022903985
2012-08-15,1.5096929809697288
2012-08-16,1.5
2012-08-17,14.304950162606982
2012-08-18,14.401269375221336
2012-08-19,15.48515205281213
2012-08-20,1.5
2012-08-21,17.5
2012-08-22,1.276753732731771
2012-08-23,1.6487729434718599
2012-08-24,NA
2012-08-25,1.8765747371642714
2012-08-26,2.3748831834410744
2012-08-27,1.7821256386360684
2012-08-28,1.9520299426834768
2012-08-29,1.5
2012-08-30,1.5
2012-08-31,3.1390745127945685
2012-09-01,2
2012-09-02,2.436116037764262
2012-09-03,2.4459948023591194
2012-09-04,2.3139173110928817
2012-09-05,2.47946760475157
2012-09-06,10.639793755204964
2012-09-07,11.44119891920079
2012-09-08,11.696096619712847
2012-09-09,NA
2012-09-10,NA
2012-09-11,NA
2012-09-12,NA
2012-09-13,NA
2012-09-14,NA
2012-09-15,NA
2012-09-16,NA
2012-09-17,NA
2012-09-18,17.5
2012-09-19,NA
2012-09-20,NA
2012-09-21,NA
2012-09-22,NA
2012-09-23,NA
2012-09-24,NA
2012-09-25,NA
2012-09-26,NA
2012-09-27,NA
